Environ 45 000 manifestants à Madrid «pour une Espagne unie»,11 février 2019," | 			Agence France-Presse 
",Europe
Plus de 51 000 gilets jaunes se sont mobilisés en France samedi,11 février 2019," | 			Agence France-Presse 
",Europe
Brésil: au moins 13 morts dans une fusillade,11 février 2019," | 			Agence France-Presse 
",Amériques
Déception en chaîne,11 février 2019, | Maryse Azzaria,Lettres
Hongrie: Orban se pose en défenseur des «chrétiens»,11 février 2019," | 			Agence France-Presse 
",Europe
Rectificatif,11 février 2019," |
        Société
",Société
Rémunération des médecins: logique viciée,11 février 2019," | 			Robert Dutrisac 
",Éditoriaux
Ma dignité vaut plus que la tienne,11 février 2019," | 			Marie-Andrée Chouinard 
",Éditoriaux
Étiquetage alimentaire: de la clarté est réclamée pour faciliter les choix,11 février 2019," | 			La Presse canadienne 
",Santé
Notre choix ce soir,11 février 2019," | 			Amélie Gaudreau 
",Écrans
LNH: les Ducks d’Anaheim congédient l’entraîneur-chef Randy Carlyle,11 février 2019," | 			Associated Press 
",Sports
Seconde médaille d’or pour Mikaël Kingsbury à Deer Valley,11 février 2019," | 			La Presse canadienne 
",Sports
"Élections 2019: de deux maux, le moindre",11 février 2019," | 			Louise Beaudoin 
",Chroniques
NBA: Chris Boucher promu par les Raptors,11 février 2019," | 			La Presse canadienne 
",Sports
Le 7e art prend le pas sur Brahms,11 février 2019," | 			Christophe Huss 
",Musique
L’ombre de l’hitlérisme sur la Berlinale,11 février 2019," | 			Odile Tremblay 
",Cinéma
L’aide humanitaire: principal levier dans le bras de fer vénézuélien,11 février 2019," | 			Ramon Sahmkow - Agence France-Presse	
",Amériques
La désunion de Donald Trump,11 février 2019," | 			Jean-François Nadeau 
",Chroniques
Les municipalités ont besoin d’aide pour faire face aux changements climatiques,11 février 2019, | Jonathan Lapierre,Idées
Les polluants chimiques affectent les bébés exposés dès la grossesse,11 février 2019," | 			Agence France-Presse 
",Santé
Genève interdit aux employés du public de porter des symboles religieux,11 février 2019," | 			Agence France-Presse 
",Europe
Le président algérien brigue un cinquième mandat,11 février 2019," | 			Agence France-Presse 
",Afrique
La course des démocrates pour la Maison-Blanche s’accélère,11 février 2019," | 			Élodie Cuzin - Agence France-Presse	
	, 		Kerem Yucel - Agence France-Presse	
",États-Unis
Donald Trump n’écarte pas un nouveau «shutdown»,11 février 2019," | 			Agence France-Presse 
",États-Unis
Les libéraux exhortent Québec à reculer,11 février 2019," | 			Vicky Fragasso-Marquis - La Presse canadienne	
",Canada
La patineuse Kim Boutin décroche l’or à Turin,11 février 2019," | 			La Presse canadienne 
",Sports
Mikaël Kingsbury remporte une seconde médaille d’or à Deer Valley,11 février 2019," | 			La Presse canadienne 
",Sports
SNC-Lavalin et la justice en matière de corruption,11 février 2019, | Denis Saint-Martin,Idées
De part et d’autre de la classe spéciale,11 février 2019, | Julien Prud’homme,Idées
Quoi surveiller aujourd’hui?,11 février 2019," | 			Guillaume Lepage 
",Société
Courts d’exception au Cinéma du Parc,11 février 2019," | 			Le Devoir 
",Cinéma
"Le vaccin contre le VPH a démontré son efficacité au Canada, selon des études",11 février 2019," | 			Vicky Fragasso-Marquis - La Presse canadienne	
",Science
"Le film «Roma», une production Netflix, triomphe aux BAFTA",11 février 2019," | 			Édouard Guihaire - Agence France-Presse	
",Cinéma
Ski alpin: Vonn obtient le bronze à sa dernière course en carrière,11 février 2019," | 			Andrew Dampf - Associated Press	
",Sports
Les voix identitaires du Québec à la Berlinale,11 février 2019," | 			Odile Tremblay 
",Cinéma
Érosion des côtes: le cri du cœur des Madelinots,11 février 2019," | 			Alexandre Shields 
",Environnement
Urbanisme: abolir ou non les référendums,11 février 2019," | 			Jeanne Corriveau 
",Politique
L’ancien ministre des Finances et ambassadeur Michael Wilson est décédé,11 février 2019," | 			La Presse canadienne 
",Canada
Les changements climatiques bouleversent la conduite automobile,11 février 2019," | 			Florence Sara G. Ferraris  
",Transports / Urbanisme
"Vieillir, la belle affaire",11 février 2019," | 			Sylvie St-Jacques 
",Santé
"Prédire la floraison des cerisiers, très sérieuse mission au Japon",11 février 2019," | 			Natsuko Fukue - Agence France-Presse	
",Asie
Une réponse réglementaire musclée pour sauver les insectes,11 février 2019," | Diego Creimer, Fondation David Suzuki",Lettres
Une facture salée pour persuader les propriétaires d’armes à feu,11 février 2019," | 			Fabien Deglise 
",Québec
Les élèves en mauvaise santé plus à risque de décrocher,11 février 2019," | 			Annabelle Caillou 
",Santé
Le chef du Pentagone en Afghanistan pour sa première visite à l’étranger,11 février 2019," | 			Sylvie Lanteaume - Agence France-Presse	
",Asie
Coup de frein pour la croissance britannique avant le Brexit,11 février 2019," | 			Patrice Novotny - Agence France-Presse	
",Économie
Un gala des prix Grammy conjugué au féminin,11 février 2019," | 			Philippe Renaud 
",Musique
"Joe Penna, réalisateur d'«Arctique», un Robinson du Nord",11 février 2019,,Cinéma
Un film chinois de Zhang Yimou déprogrammé du festival du film de Berlin,11 février 2019," | 			Agence France-Presse 
",Cinéma
Frappe de la GRC contre un réseau international de blanchiment d’argent,11 février 2019," | 			Ugo Giguère - La Presse canadienne	
",Société
L’Espagne prépare le procès controversé de 12 séparatistes catalans,11 février 2019," | 			Joseph Wilson - Associated Press	
	, 		Aritz Parra - Associated Press	
",Europe
Le Grincheux du 11 février,11 février 2019," | 			Pascal  
",Environnement
Une «nouvelle pierre à l’édifice» contre les aliments ultratransformés,11 février 2019," | 			Ivan Couronne - Agence France-Presse	
",Science
Syrie: le dernier bastion du groupe État islamique sous pression,11 février 2019," | 			Maya Gebeily - Agence France-Presse	
",Moyen-Orient
La Chine proteste après les critiques turques sur son traitement des Ouïghours,11 février 2019," | 			Agence France-Presse 
",Asie
La liberté au détour de la frontière,11 février 2019," | 			Caroline Montpetit 
",Culture
L’affaire Bissonnette: pour que la haine ne change pas de camp,11 février 2019, | Djamel Ighil,Libre opinion
Les mythes économiques quant à l’immigration,12 février 2019, | Vincent Geloso,Idées
Controverse entre Israël et Total,12 février 2019," | 			Agence France-Presse 
",Économie
Nouveau fonds pour Cycle Capital,12 février 2019," | 			Le Devoir 
",Économie
"Trente ans après la fatwa le condamnant, Salman Rushdie ne veut plus vivre caché",12 février 2019," | 			Alain Jean-Robert - Agence France-Presse	
",Lire
Un peu plus d’humanité,12 février 2019," | Robert Perreault, ex-ministre de l’Immigration au Québec",Lettres
Une loi injuste,12 février 2019, | Jean-Charles Merleau,Lettres
On n’a encore rien vu,12 février 2019, | Pierre Desrosiers,Lettres
La parole à nos lecteurs,12 février 2019,"

66




Hockey: Folin précédé par sa réputation

            Les joueurs du Canadien se rappellent les durs coups d’épaule de leur nouveau défenseur.        

6612 février 2019
 | 			Alexis Bélanger-Champagne - La Presse canadienne	

 |
        Sports



",Sports
Hockey: Folin précédé par sa réputation,12 février 2019," | 			Alexis Bélanger-Champagne - La Presse canadienne	
",Sports
Football: le ton monte entre la LCF et le syndicat des joueurs,12 février 2019," | 			La Presse canadienne 
",Sports
États-Unis: le risque de récession en 2020 proche de 50%,12 février 2019," | 			Le Devoir 
",Économie
Cameco renoue avec les profits,12 février 2019," | 			La Presse canadienne 
",Économie
«Vice Canada» confirme le départ de quatre personnes,12 février 2019," | 			Le Devoir 
",Médias
